page_id,title,studio,type,owner,vendor,supplier,contract_item,start_date,end_date,cost,currency,wiki_url
820218290,"2026.01 Figma Subscription Renewal (ELA)","KRAFTON HQ","SW Subscription","권성우","Figma","Figma","Figma Enterprise Subscription Renewal (Enterprise License Agreement)","2026-01-13","2027-01-12","316653.71","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/820218290"
842197795,"2026.02 1Password Enterprise 갱신 계약","KRAFTON HQ","S/W","이윤슬","AgileBits Inc.","AgileBits Inc.","1Password Enterprise","2026-03-01","2027-02-28","28475.70","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/842197795"
800930857,"2026.01 Amplitude Enterprise 갱신 계약(Cancel)","KRAFTON HQ","S/W","이윤슬","Amplitude","AB180","Amplitude Enterprise 200M events/month","2026-02-01","2027-01-31","","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/800930857"
801029921,"2026.01 AppTweak Enterprise 갱신 계약","KRAFTON HQ","S/W","이윤슬","AppTweak S.A.","AppTweak S.A.","AppTweak Enterprise","2026-01-24","2027-01-24","20000","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/801029921"
800933524,"2026.01 인터넷회선 및 전화 IDC 상면 연간비용","KRAFTON HQ","네트워크","이윤슬","SKB/KT/LGU","SKB/KT/LGU","인터넷회선 및 전화 IDC 상면 연간비용","2026-01-01","2026-12-31","1243542804","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/800933524"
818783526,"2026.01 Akamai 단기 재계약","KRAFTON HQ","Cloud","이윤슬","Akamai Technologies Yuhan Hoesa","Akamai Technologies Yuhan Hoesa","Akamai CDN","2026-02-01","2026-07-31","2591550000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/818783526"
823850872,"2026.01 2026년 BattlEye 연간 비용","KRAFTON HQ","S/W","이윤슬","BattlEye Innocations e.K.","BattlEye Innocations e.K.","BattlEye license for PUBG: BATTLEGROUNDS","2026-01-01","2026-12-31","600000","EUR","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/823850872"
824234061,"2026.01 2026년 Vivox voice chat 연간 비용","KRAFTON HQ","S/W","이윤슬","Unity Technologies SF","Unity Technologies SF","Vivox Voice chat Service","2026-01-01","2026-12-31","1427960","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/824234061"
829942851,"2026.01 KoreaPlus Statistics License 계약","KRAFTON HQ","S/W","최소미","IBM","데이타솔루션","KoreaPlus Statistics","2026-01-09","2027-01-08","13400000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/829942851"
838074665,"2026.01 게임 빌드테스트 QA 용역 계약 갱신","KRAFTON HQ","용역","송은석","그로브소프트","그로브소프트","게임 빌드테스트 QA 용역 연간 48MM","2026-01-01","2026-12-31","347900000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/838074665"
838501064,"2026.01 웹페이지 QA 용역 계약 갱신","KRAFTON HQ","용역","송은석","그로브소프트","그로브소프트","HUB/웹페이지 QA 용역 연간 95.50M/M","2026-01-01","2026-12-31","789900000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/838501064"
841967176,"2026.02 Microsoft EA/CSP/SCE 계약 2년차 비용 및 True up","KRAFTON HQ","S/W","이윤슬","Microsoft","제니스클라우드","Microsoft EA/CSP/SCE 계약 2년차 비용 및 True up","2026-02-01","2027-01-31","3643264806","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/841967176"
849942187,"2026.02 n8n Enterprise 계약","KRAFTON HQ","S/W","이윤슬","n8n GmbH","n8n GmbH","n8n Self-Hosted Enterprise license - Tier B","2026-02-19","2027-02-18","158628","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/849942187"
856630515,"2026.02 n8n MNDA 계약","KRAFTON HQ","S/W","이윤슬","n8n GmbH","n8n GmbH","n8n MNDA","2026-02-19","2028-02-18","0","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/856630515"
854015556,"2026.02 VDI 망연계솔루션 유지보수 계약","KRAFTON HQ","유지보수","송은석","(주)넥스트테크놀로지","(주)넥스트테크놀로지","i-oneNet V5.0 유지보수","2026-03-01","2027-02-28","4560000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/854015556"
860992766,"2026.01 Project GW - SpeedTree 계약","KRAFTON HQ","S/W","이윤슬","Unity","투지스인터랙티브","Speedtree one project license for Windows","","","22275000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/860992766"
863982879,"2026.02 AWS CloudFront 약정 및 단가 조정","KRAFTON HQ","Cloud","이윤슬","AWS","GS네오텍","AWS CloudFront","2026-02-01","2027-01-31","2850000","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/863982879"
868271900,"2026.02 스마트 사물함 도입 계약","KRAFTON HQ","S/W","송은석","(주)스마트큐브","(주)스마트큐브","스마트 사물함 시스템 (H/W 및 S/W)","2026-02-19","2027-02-18","72270000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/868271900"
868846809,"2026.02 GCP 2차 Revised 계약","KRAFTON HQ","S/W","이윤슬","Google","LG CNS","Google Cloud Platform service / Gemini Enterprise Standard","2026-02-22","2027-02-21","2050400","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/868846809"
877921994,"2026.02 Workato RPA Subscription 1년차 비용","KRAFTON HQ","SW Subscription","권성우","Workato","Workato","Workato RPA Subscription (3Y)","2026-02-03","2029-02-02","37275","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/877921994"
843052893,"2026.01 Guest 협업목적 Slack Pro 추가 라이선스 비용","KRAFTON HQ","S/W","이윤슬","Salesforce.com Singapore Pte. Ltd.","Salesforce.com Singapore Pte. Ltd.","Slack Pro","2026-01-01","2026-09-02","2866.87","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/843052893"
852453610,"2026.01 2026년 NS) Sendbird 연간 비용","KRAFTON HQ","S/W","송은석","Sendbird Inc","Sendbird Inc","NS)Sendbird chat Service","2026-01-01","2026-12-31","79000","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/852453610"
842754528,"2026.01 크래프톤 정글 용인캠퍼스 - 인터넷 대역폭 증설","KRAFTON HQ","네트워크","이윤슬","SKB","SKB","SKB 프리밴 2G","2026-01-16","2029-10-31","104650000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/842754528"
842216559,"2026.01 Motion Capture Team) Faceware Annual License 3종 갱신","KRAFTON HQ","S/W","송은석","Faceware Technologies, Inc","트라이콤텍 주식회사","Analyzer 3.0 SP-Annual / RET 5.0 SP-Annual / Shepherd 1-Annual","2026-02-01","2027-01-31","6200000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/842216559"
863984969,"2026.01 26년 Concur 사용료 비용품의","KRAFTON HQ","S/W","이윤슬","Concur Holdings","Concur Holdings","Concur (Expense, Invoice, Cognos Consumer)","2026-01-01","2027-12-31","338477.89","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/863984969"
840692837,"2026.01 26년 Workato ONE Subscription (3Y)","KRAFTON HQ","SW Subscription","이윤슬","Workato","Workato","Workato ONE Subscription (3year)","2026-02-03","2029-02-02","977550","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/840692837"
871243432,"2026.01 26년 Workato ONE Subscription (3Y) 1년차 비용 정산 품의","KRAFTON HQ","SW Subscription","이윤슬","Workato","Workato","Workato ONE Subscription (3Y)","2026-02-03","2027-02-02","335850","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/871243432"
860322742,"2026.01 Tableau Cloud Early Renewal 및 Add-on 계약","KRAFTON HQ","SW Subscription","송은석","salesforce.com Singapore Pte Ltd","salesforce.com Singapore Pte Ltd","Tableau Cloud Renewal + Add-on","2026-02-01","2027-01-31","286028.40","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/860322742"
851370325,"2026.01 26년 Oanda(환율정보서비스) 비용품의","KRAFTON HQ","S/W","이윤슬","Oanda","Oanda","Oanda Advanced Plus Plan Subscription (3Y)","2024-01-11","2027-01-10","11475","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/851370325"
875488893,"2026.02 2026년 02월 Microsoft 라이선스 구매","KRAFTON HQ","S/W","이윤슬","Microsoft","제니스클라우드","Visual studio professional with GitHub enterprise / Teams Rooms Pro","2025-11-06","2028-01-31","27577782","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/875488893"
859296839,"2026.01 26년 Incredibuild Subscription Renewal","KRAFTON HQ","S/W","이윤슬","Incredibuild","코리안소프트플라자","Incredibuild Subscription","2026-02-04","2027-02-03","113784000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/859296839"
841844753,"2026.01 Hootsuite Renewal","KRAFTON HQ","SW Subscription","송은석","Hootsuite","Hootsuite","Hootsuite Enterprise Plan + User Add on","2026-01-06","2026-08-18","18760.37","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/841844753"
860774416,"2026.01 26년 Workato RPA Subscription (3Y)","KRAFTON HQ","SW Subscription","이윤슬","Workato","Workato","Workato RPA Subscription (3Y)","2026-02-03","2029-02-02","102825","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/860774416"
853411546,"2026.01 Wwise 라이선스 구매 - PUBG:BlindSpot","KRAFTON HQ","S/W","이윤슬","Audiokinetic Inc.","Audiokinetic Inc.","Wwise License Premium(Windows) / DLC Add-on License Premium","2026-02-05","2027-02-04","29450.00","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/853411546"
906383060,"2026.02 Cisco switch 유지보수 3년차 비용","KRAFTON HQ","유지보수","이윤슬","Cisco","뉴엔네트웍스","Cisco N9K-C93180YC * 8대 + N9K-C93108TC * 8대 유지보수","2026-02-23","2027-02-22","19304000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/906383060"
889106213,"2026.02 26년 AD 연계 솔루션(Quest Software) Maintenance Renewal","KRAFTON HQ","유지보수","이윤슬","Quest Software","메타넷엑스","RMAD / Change Auditor / GPOAdmin Maintenance","2026-03-01","2027-02-28","32880000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/889106213"
887762225,"2026.02 SurveyMonkey Enterprise Pro - Power User 추가 계약","KRAFTON HQ","SW Subscription","이윤슬","SurveyMonkey Europe Unlimited Company","SurveyMonkey Europe Unlimited Company","Power User license","2026-03-01","2027-12-20","13561.64","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/887762225"
885738509,"2026.03 KRAFTON IT전산기기 공급사 선정","KRAFTON HQ","H/W","임태호","가이드컴 / 맥플러스","가이드컴 / 맥플러스","IT전산기기 (일반IT장비 / Apple 제품군)","2026-04-01","2027-03-31","4844590000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/885738509"
882195792,"2026.04 Cisco Meraki license 연장","KRAFTON HQ","S/W","이윤슬","Cisco","뉴엔네트웍스","Meraki license","2026-04-10","2027-04-09","18090000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/882195792"
880952485,"2026.02 26년 Yandex Cloud RI Renewal","KRAFTON HQ","Cloud","이윤슬","Iron Hive doo Beograd (Yandex)","Iron Hive doo Beograd (Yandex)","Yandex Compute Cloud RI","2026-03-01","2027-02-28","272344.9","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/880952485"
878555158,"2026.02 PUBG Studio) 26년 Oodle License Renewal","KRAFTON HQ","S/W","임태호","Epic Games","투지스인터랙티브","Oodle Data Compression / Oodle Texture license","2026-03-12","2027-03-11","29300000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/878555158"
900992882,"2026.02 2026년 ClovaNote 사용비용","KRAFTON HQ","S/W","이윤슬","네이버클라우드플랫폼","(주)메가존소프트","ClovaNote","2026-01-01","2026-07-31","52080000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/900992882"
890701318,"2026.02 NICE BizLINE 연간 계약","KRAFTON HQ","SW Subscription","이윤슬","NICE평가정보 주식회사","NICE평가정보 주식회사","NICE BizLINE - Standard plan","2026-03-03","2027-03-02","5000000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/890701318"
890907726,"2026.02 Claude Standard license 추가 구매","KRAFTON HQ","S/W","이윤슬","ANTHROPIC, PBC","ANTHROPIC, PBC","Claude Standard","2026-02-11","2026-08-19","35912.34","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/890907726"
897641353,"2026.03 Newzoo 서비스 계약 갱신","KRAFTON HQ","SW Subscription","이윤슬","Newzoo International BV","Newzoo International BV","Newzoo service","2026-04-01","2027-04-01","263986.00","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/897641353"
897464969,"2026.02 26년 SAP(CPI, S4HC) 사용료 변경계약","KRAFTON HQ","S/W","이윤슬","SAP Korea","SAP Korea","CPI Termination / S4HC Add-on","2026-02-27","2028-03-01","379189391","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/897464969"
897950602,"2026.02 26년 NetApp Storage System Warranty 및 유지보수 갱신","KRAFTON HQ","유지보수","이윤슬","NetApp","이비즈테크","FAS2750 / FAS2720 / 클러스터 스위치 / FAS8300 유지보수","2026-03-01","2027-02-28","61676500","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/897950602"
897952053,"2026.03 크래프톤 GPU Cluster 구축(2차발주)_NHN Cloud","KRAFTON HQ","Cloud","정채원","DellTechnologies","NHN Cloud","GPU Cluster 구축 및 운영","2026-07-01","2031-06-30","5325000000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/897952053"
908167008,"2026.03 26년 Tencent Cloud 2개월 계약 연장_SK","KRAFTON HQ","Cloud","이윤슬","Tencent","SK","Tencent Cloud","2026-03-01","2026-04-30","995000000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/908167008"
901019483,"2026.02 26년 Wrike Subscription Renewal (HQ Transfer)","KRAFTON HQ","SW Subscription","이윤슬","Wrike","Wrike","Wrike Pinnacle Plan Subscription","2026-02-26","2027-02-25","96000","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/901019483"
909559606,"2026.03 26년 로지텍 회의실 장비 공급사 선정","KRAFTON HQ","H/W","이윤슬","Logitech","유앤케이테크","Logitech Meetup2 / Rally Bar Mini / TAP Scheduler 외","2026-02-26","2027-02-25","9046000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/909559606"
912801426,"2026.03 Claude Standard license 추가 구매","KRAFTON HQ","S/W","이윤슬","ANTHROPIC, PBC","ANTHROPIC, PBC","Claude Standard","2026-03-02","2026-08-19","32320.38","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/912801426"
915320720,"2026.03 Trend Micro Vision One(CSPM) 갱신","KRAFTON HQ","S/W","임태호","Trend AI","한매에스티","Trend Micro Vision One","2026-04-01","2027-03-31","99800000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/915320720"
915803273,"2026.03 Perplexity Enterprise 초과 사용자 비용","KRAFTON HQ","SW Subscription","이윤슬","PERPLEXITY AI, INC.","PERPLEXITY AI, INC.","Perplexity Enterprise Pro","2025-11-13","2026-06-12","33594.12","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/915803273"
917002380,"2026.03 26년 02월 Claude API 사용비용","KRAFTON HQ","S/W","이윤슬","ANTHROPIC, PBC","ANTHROPIC, PBC","Claude API","2026-02-01","2026-02-28","445556.18","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/917002380"
922727607,"2026.03 Harvey.AI 계약","KRAFTON HQ","S/W","이윤슬","Harvey AI Corporation","Harvey AI Corporation","Harvey.AI","2026-03-23","2027-03-22","69300.00","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/922727607"
922719236,"2026.04 26년도 Unity License Renewal","KRAFTON HQ","S/W","임태호","Unity","(주)루시소프트","Unity Enterprise","2026-04-17","2027-04-16","318680000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/922719236"
928652616,"2026.03 26년 Incredibuild Subscription 발주 절차 변경 계약","KRAFTON HQ","S/W","이윤슬","Incredibuild","코리안소프트플라자","Incredibuild Subscription","2026-03-23","2027-02-03","858000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/928652616"
931573525,"2026.03 크래프톤 정보보호 공시 및 사전점검 컨설팅 용역 계약","KRAFTON HQ","용역","임태호","에이스솔루션","에이스솔루션","크래프톤 정보보호 공시 및 사전점검 컨설팅 용역","2026-04-01","2026-05-31","7000000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/931573525"
932058270,"2026.03 역삼 대형 회의실용 화상회의 장비 (Neat Center) 구매","KRAFTON HQ","H/W","이윤슬","Neat","리브테크놀로지","Neat Center * 2ea","2026-03-23","2027-03-22","7940000","KRW","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/932058270"
935228831,"2026.03 DevSecOps platform(User Add-on)_SW_GitLab","KRAFTON HQ","S/W","정채원","GitLab","GitLab","Self-Managed - GitLab Duo Enterprise - 1 Year","2025-12-03","2026-05-02","132414.15","USD","https://krafton.atlassian.net/wiki/spaces/ITPurchase/pages/935228831"
